razao_social;cnpj;ie;rua;bairro;cidade;estado;cep;telefone
H-Técnica Eng. Mont. E Com. Ltda;"00669412000119";"407452480110";Rua Waldemar Guido da Costa, 165;Jardim Eldorado;Jundiai;SP;13214-082;(11) 3963-1400
Servbelt Correias Industriais;"02894916000168";;Rua Pasquale Montani, 01;Parque Edu Chaves;São Paulo;SP;02228-060;(11)2243-5414
Tecnovip Instrumentos de Medição Ltda;"05332223000170";"708203867119";Rua Waldomiro Rossi, 07;Jardim Novo Espirito Santo;Valinhos;SP;13273-202;(19) 3244-3200
União Brasil Importação e Exportação de Equip. Ltda;"05966008000120";"797668531111";Rua Marcos Markarian, 517;Nova Aliança;Ribeirão Peto;SP;14026-583;(16) 3623-1674
Bandeirantes Produtos Para Industria Ltda.;"51207900000109";"110148312116";Rua Florêncio de Abreu, 411/417;Centro;São Paulo;SP;01029-001;(11) 3227-1366
Ebara Bombas America do Sul Ltda;"46138319000774";"711057965110";Av. Manoel Gomes Casaca, 840;Parque Industrial ;Vargem Grande do Sul;SP;13880-000;(19) 3641-9100
Pavan Aços e Metais Ltda EPP;"02452600000116";"388011840116";Estrada Municipal IVA-132, 108;Santa Julia;Itupeva;SP;13295-000;(11) 4591-3208
Elastim Maborin Sol. P/Manut.Ind. Ltda EPP;"21354944000137";"144026432117";Rua Coronel Bento Bicudo, 754;Piqueri;São Paulo;SP;02912-000;(11)3103-7406
Cetti Com. De Materais Eletricos Ltda;"01202491000116";"407205135115";Rua Messina, 346;Jardim Messina;Jundiai;SP;13207-480;(11)4527-4500
M.M Vinhedo Motores e Máquinas Ltda.;"02570584000166";"714030279110";Av. Salvador Rotela, 108;Residencial Flora ;Vinhedo;SP;13280-000;(19)3886-3690
